BM25 NDCG@K,BM25 Relevance Score,SFR-Embedding-Mistral Default Instruct Relevance Score,SFR-Embedding-Mistral Default Instruct NDCG@K,SFR-Embedding-Mistral Specific Instruct Relevance Score,SFR-Embedding-Mistral Specific Instruct NDCG@K,gte-large-en-v1.5 Relevance Score,gte-large-en-v1.5 NDCG@K,GritLM-7B Default Instruct Relevance Score,GritLM-7B Default Instruct NDCG@K,GritLM-7B Specific Instruct Relevance Score,GritLM-7B Specific Instruct NDCG@K,e5-mistral-7b-instruct Default Instruct Relevance Score,e5-mistral-7b-instruct Default Instruct NDCG@K,e5-mistral-7b-instruct Specific Instruct Relevance Score,e5-mistral-7b-instruct Specific Instruct NDCG@K,voyage-large-2-instruct Relevance Score,voyage-large-2-instruct NDCG@K
0.8,4,5,1.0,5,1.0,4,0.8,5,1.0,5,1.0,5,1.0,5,1.0,4,0.8
0.8773705614469083,5,5,1.0,5,1.0,5,0.8773705614469083,5,1.0,5,1.0,5,1.0,5,1.0,5,0.8773705614469083
0.9061442547954488,5,1,0.8122885095908974,5,1.0,4,0.8592163821931731,1,0.8122885095908974,5,1.0,5,1.0,5,1.0,2,0.7653606369886218
0.8210474682389092,2,1,0.7093459509862654,1,0.8654979709831061,5,0.8828859850023695,4,0.8102224727489358,1,0.8654979709831061,5,1.0,1,0.8654979709831061,1,0.6703079459870552
0.8445269490396529,5,5,0.7474812380163884,5,0.8831453201258349,5,0.8982519384179152,5,0.8351222479220122,1,0.7781812581159614,1,0.8950359379901266,4,0.8569043046233665,5,0.7135652174890268
0.8802617926316133,5,5,0.7917688406547845,4,0.8934438682004893,1,0.8411206899349802,1,0.7835546974716269,4,0.7977304193443528,1,0.8381881196192706,5,0.8915483164946528,1,0.6727106391085182
0.9084315859943712,5,1,0.7504922942024986,1,0.8444208555755542,3,0.834178342740705,1,0.7429039741328586,5,0.832188152890502,4,0.8505163214202355,3,0.880763964899288,5,0.7166934401357025
0.8641487744166266,1,5,0.7840866813612752,1,0.8044430852114834,1,0.7948894325036332,1,0.7097537208996648,1,0.7930330928574835,1,0.8101286005446457,5,0.905596931782833,3,0.71893347257969
0.8572647810868068,3,4,0.7971078097345269,5,0.8313133765933634,5,0.8223358779603368,5,0.742334463012696,5,0.8205914889663714,1,0.7763488112328737,1,0.866059714423222,5,0.7509606095431464
0.8770810103044535,4,1,0.7778033182147823,3,0.8383349132598849,1,0.8019812746860518,5,0.78080954970856,1,0.8003094954286171,4,0.7995331465739499,1,0.8438851178695348,1,0.7335769831854247
0.856083591421889,1,1,0.7606396173870938,1,0.8188337178356736,5,0.8353720589523648,3,0.789273831754719,1,0.7822766936366053,3,0.8072743961860931,4,0.862785702895782,2,0.73099316719317
0.8372322103908368,1,3,0.7692714137498035,1,0.8013256389827972,3,0.8413088595507889,1,0.7728317393210251,1,0.7660869314786989,3,0.8142244526149893,1,0.843692630817902,4,0.7527147135846247
0.8201689799499858,1,3,0.7770844397669852,3,0.80805323167862,4,0.85796999407785,4,0.7918116741780837,3,0.7740077917406083,3,0.8205152603933602,3,0.8489855750600718,5,0.7836633294624193
0.8259137730489693,3,4,0.7948540926566167,4,0.8248335708113239,1,0.841210209991208,3,0.798462355785395,3,0.7812272273978799,1,0.8049519867615612,1,0.8325128027935115,4,0.8012228163856298
0.8110093729525769,1,1,0.7808894901366382,3,0.8301337214742117,1,0.825842973375428,3,0.8045604413804969,1,0.7676749438323307,1,0.7906818441881491,3,0.8375805967961113,2,0.7971514434094733
0.8049888228259222,1,3,0.7948101023359905,1,0.8237429603220146,1,0.8195352729482641,1,0.7986647303074839,4,0.7915304138541979,4,0.8140919443630045,1,0.8310456782967037,2,0.8010782057815483
0.8086203067560962,2,4,0.8172530607837923,1,0.8177142425072051,3,0.8322068375075237,1,0.7931030174644648,1,0.7861015557322687,1,0.8082429470640796,1,0.8248809697999447,1,0.7954715493741297
0.812055921178924,2,1,0.8115577899175882,4,0.8389384274324546,3,0.8441949423144479,1,0.7878412839069137,3,0.798917334407568,1,0.8027094241666495,4,0.845976498903701,1,0.7901672963504229
0.8066453329593896,1,1,0.8061558385575123,1,0.8330617363070775,1,0.8382271109941055,1,0.7828505416902023,1,0.793734549853921,5,0.8321379328776412,4,0.8659855598967058,1,0.7851362245175396
0.7931142784797454,0,1,0.8010202341456146,4,0.8526365166662238,1,0.832553527724785,1,0.7781058714704346,1,0.7888073060774703,2,0.8349537314479561,2,0.8682335821885399,1,0.7803532131612201
0.7948093607262869,1,1,0.8026505403167814,1,0.8538439137864893,2,0.8421187977414867,1,0.7799239224945381,2,0.7987310031674506,1,0.8363060093994006,1,0.8693131874599009,3,0.7985395038066827
0.796453440884567,1,4,0.8282691495494402,1,0.855014982419084,2,0.8513962653541264,2,0.7896997235628469,2,0.808356113403668,1,0.8376175996499535,1,0.8703603092789398,3,0.8161786004723001
0.8215793378039485,4,1,0.8296160604079763,1,0.8561521216925019,1,0.8525617867691104,1,0.7913491402235295,1,0.8098592051961527,2,0.8467343394360495,3,0.887063393300686,4,0.8411497900018016
0.8229503541156988,1,2,0.8386095001387851,3,0.8726258326119304,3,0.8690630864648836,0,0.7852682717513353,3,0.8266886391739636,4,0.8709645973148412,1,0.8879312184061009,1,0.8423704234550794
0.8468877652720136,4,3,0.8548944496458081,1,0.8735855304937092,3,0.8851185840909715,3,0.8019551195784387,1,0.8279944498362325,3,0.8870057680489674,1,0.8887755981929498,3,0.8586270363675307
0.8480197448413254,1,2,0.8633603706743215,2,0.8819132658201736,4,0.9081473259149137,2,0.8108124282720578,3,0.8440523821862168,1,0.8878411497690883,1,0.8895978953181807,0,0.8522790899440892
0.8636417520693477,3,1,0.8643522874318489,2,0.890029864009698,2,0.916073481522338,1,0.8121858096522545,0,0.8379250990089042,2,0.8959147152933851,2,0.8976587079877056,3,0.867870177037123
0.8788792730032389,3,2,0.8724522658931133,3,0.9050791724055064,2,0.923804559880615,3,0.8277903387883108,1,0.8390810941230674,3,0.9109220501369044,0,0.8912561800560249,1,0.8688125896429387
0.8937522914211912,3,3,0.8873703496361575,0,0.8987328767752942,1,0.924338832244199,3,0.843021586066064,0,0.833197568301924,0,0.9045347850196626,3,0.906042413236244,1,0.8697324584394719
0.8944850834747022,1,0,0.8812501429095119,2,0.9063283327854674,1,0.9248606684629038,0,0.8372072534327227,3,0.8481420374553368,1,0.9051932100516944,3,0.9204844703920604,1,0.8706309156444587
0.8952012605983283,1,1,0.8820561515183675,3,0.9205390226274448,1,0.9253706728499947,4,0.8586745481665333,4,0.8695351128993382,2,0.9126241553964076,1,0.9210241780007432,1,0.8715090017176982
0.8959016049208713,1,2,0.889527096604883,1,0.9210700408885832,1,0.9258694023753984,1,0.8596189915671647,1,0.8704069778043343,1,0.9132080667778316,1,0.9215519540872792,1,0.8723676756068944
0.8900042752392018,0,1,0.890254291565394,1,0.9215896023985573,1,0.9263573717810678,1,0.8605430585441926,1,0.8712600321711688,1,0.9137793802358156,1,0.9220683433727644,1,0.8732078235548941
0.8842312224878521,0,1,0.8909661620379904,1,0.9220982149684076,1,0.9268350580004308,1,0.8614476522657787,1,0.8720951097614232,1,0.91433865416292,2,0.9290603955338468,1,0.8740302667087535
0.8849714944999232,1,3,0.904452170582826,1,0.922596350237593,0,0.9209085027755392,2,0.8687280127862738,2,0.8793073861667265,3,0.927675209615616,1,0.929514011827136,0,0.8684413665056778
0.8920027141895032,2,1,0.9050546823358268,1,0.9230844472356252,1,0.921407243112508,1,0.869555796270404,1,0.8800684575461446,1,0.9281312800099484,1,0.9299584869821976,1,0.8692709575426752
0.8864538365478282,0,1,0.9056453082857122,1,0.9235629155006226,1,0.9218961447543452,0,0.8641465540793666,0,0.8745938192860374,1,0.9285783534629154,2,0.9366148898527245,1,0.8700841831632589
0.8871508593947668,1,0,0.90008584725325,2,0.9301708115173306,0,0.9162369251395046,1,0.864980514054438,0,0.8692249732123392,0,0.92287811394924,1,0.9370039903611443,3,0.8831590413641397
0.8999538793339099,3,0,0.8946316873570905,0,0.9245343487818728,0,0.910684896177238,0,0.859739078423479,0,0.8639578178580998,0,0.917285842041504,0,0.9313261212974712,1,0.8838670507976457
0.8999538793339099,0,1,0.9006509949922518,0,0.9245343487818728,0,0.910684896177238,0,0.859739078423479,1,0.869977125493261,1,0.923305149676665,0,0.9313261212974712,0,0.8838670507976457
0.8999538793339099,0,0,0.9006509949922518,0,0.9245343487818728,1,0.9166653960548868,2,0.8717000781787763,2,0.8819381252485583,0,0.923305149676665,1,0.93730662117512,0,0.8838670507976457
0.8999538793339099,0,1,0.9065940801797606,1,0.9304774339693817,0,0.9166653960548868,1,0.8776431633662851,0,0.8819381252485583,2,0.9351913200516826,0,0.93730662117512,1,0.8898101359851545
0.8999538793339099,0,2,0.9184080402913154,2,0.9422913940809364,0,0.9166653960548868,0,0.8776431633662851,1,0.8878451053043357,1,0.94109830010746,2,0.9491205812866748,2,0.9016240960967093
0.905825987185579,1,0,0.9184080402913154,0,0.9422913940809364,0,0.9166653960548868,4,0.9011315947729616,0,0.8878451053043357,0,0.94109830010746,0,0.9491205812866748,0,0.9016240960967093
0.9116643852960244,1,0,0.9184080402913154,0,0.9422913940809364,0,0.9166653960548868,0,0.9011315947729616,0,0.8878451053043357,0,0.94109830010746,0,0.9491205812866748,0,0.9016240960967093
0.9232759571146768,2,0,0.9184080402913154,0,0.9422913940809364,2,0.9282769678735392,0,0.9011315947729616,4,0.911068248941641,0,0.94109830010746,0,0.9491205812866748,0,0.9016240960967093
0.9232759571146768,0,0,0.9184080402913154,0,0.9422913940809364,0,0.9282769678735392,0,0.9011315947729616,0,0.911068248941641,0,0.94109830010746,0,0.9491205812866748,0,0.9016240960967093
0.9232759571146768,0,0,0.9184080402913154,0,0.9422913940809364,1,0.9340205867928626,0,0.9011315947729616,0,0.911068248941641,0,0.94109830010746,0,0.9491205812866748,0,0.9016240960967093
0.9232759571146768,0,0,0.9184080402913154,0,0.9422913940809364,0,0.9340205867928626,0,0.9011315947729616,0,0.911068248941641,0,0.94109830010746,0,0.9491205812866748,0,0.9016240960967093
0.928961136159442,1,0,0.9184080402913154,0,0.9422913940809364,0,0.9340205867928626,2,0.912501952862492,2,0.9224386070311712,0,0.94109830010746,0,0.9491205812866748,0,0.9016240960967093
